Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
28,Yes,Travel_Rarely,541,Sales,16,1,Marketing,1,12,3,Female,54,3,2,Sales Executive,3,Divorced,5420,9876,5,Y,Yes,14,3,2,80,0,6,4,2,4,3,1,2
44,No,Non-Travel,1156,Research & Development,4,4,Life Sciences,1,13,1,Male,87,4,3,Research Director,1,Married,14680,25147,1,Y,No,12,4,1,80,2,18,2,4,15,11,7,9
36,No,Travel_Rarely,698,Human Resources,13,3,Human Resources,1,14,4,Female,63,3,3,Manager,4,Single,12450,18569,2,Y,No,15,3,4,80,0,12,3,3,8,6,4,5
24,Yes,Travel_Frequently,1349,Research & Development,25,2,Technical Degree,1,15,2,Male,41,2,1,Laboratory Technician,2,Single,2650,13478,1,Y,Yes,22,4,3,80,0,2,6,2,1,0,0,0
48,No,Travel_Rarely,784,Sales,8,4,Life Sciences,1,16,3,Female,89,3,3,Sales Executive,3,Married,9850,20145,4,Y,No,16,3,3,80,1,21,3,3,17,13,6,10
32,No,Travel_Frequently,462,Research & Development,19,3,Medical,1,17,4,Male,76,2,2,Research Scientist,4,Divorced,4750,17896,3,Y,Yes,18,3,4,80,1,8,4,2,6,5,2,4
27,Yes,Non-Travel,1093,Sales,12,2,Marketing,1,18,1,Female,52,3,1,Sales Representative,1,Single,3250,14587,6,Y,No,17,3,2,80,0,4,2,3,2,1,0,1
41,No,Travel_Rarely,635,Research & Development,6,3,Life Sciences,1,19,2,Male,94,4,4,Manager,2,Married,15680,19874,2,Y,Yes,13,4,2,80,3,16,1,4,14,10,5,8
35,No,Travel_Frequently,1278,Human Resources,21,4,Human Resources,1,20,3,Female,68,3,2,Human Resources,3,Single,5680,22456,1,Y,No,19,3,3,80,2,11,3,3,9,7,3,5
30,Yes,Travel_Rarely,749,Research & Development,14,1,Medical,1,21,4,Male,57,2,1,Laboratory Technician,4,Married,3150,16789,4,Y,Yes,16,3,4,80,0,7,2,2,5,3,1,2
53,No,Non-Travel,1186,Sales,3,5,Marketing,1,22,1,Female,91,4,5,Manager,1,Divorced,19250,24568,5,Y,No,11,4,1,80,1,28,4,4,24,16,10,13
37,No,Travel_Rarely,568,Research & Development,17,3,Life Sciences,1,23,2,Male,73,3,2,Research Scientist,2,Single,5280,15687,3,Y,Yes,20,4,2,80,1,13,3,3,10,7,4,6
26,Yes,Travel_Frequently,1345,Sales,29,2,Technical Degree,1,24,3,Female,45,2,1,Sales Representative,3,Married,2980,13456,2,Y,No,21,4,3,80,0,3,4,2,2,1,0,1
49,No,Travel_Rarely,692,Research & Development,7,4,Medical,1,25,4,Male,88,3,4,Healthcare Representative,4,Divorced,12850,21387,6,Y,Yes,14,3,4,80,2,23,2,3,19,14,8,11
34,No,Travel_Frequently,1057,Human Resources,10,3,Human Resources,1,26,2,Female,66,4,3,Manager,2,Single,11250,18947,1,Y,No,17,4,2,80,1,10,5,4,8,6,3,5
23,Yes,Non-Travel,838,Research & Development,23,1,Life Sciences,1,27,3,Male,51,2,1,Laboratory Technician,3,Single,2450,14758,0,Y,Yes,18,3,3,80,0,1,3,2,1,0,0,0
56,No,Travel_Rarely,471,Sales,5,5,Marketing,1,28,1,Female,93,3,5,Manager,1,Married,20150,23689,7,Y,No,12,4,1,80,3,33,3,4,29,20,14,16
38,No,Travel_Frequently,1269,Research & Development,18,4,Medical,1,29,4,Male,79,2,2,Manufacturing Director,4,Divorced,8450,19856,3,Y,Yes,15,3,4,80,1,14,4,2,11,8,5,7
29,Yes,Travel_Rarely,546,Sales,26,2,Life Sciences,1,30,2,Female,58,3,2,Sales Executive,2,Single,4750,16487,4,Y,No,19,3,2,80,0,6,3,3,4,3,1,2
42,No,Non-Travel,1194,Research & Development,9,3,Technical Degree,1,31,3,Male,86,4,3,Research Director,3,Married,16850,25478,2,Y,No,13,4,3,80,2,17,2,4,14,11,6,9
31,No,Travel_Rarely,673,Human Resources,15,4,Human Resources,1,32,4,Female,64,3,2,Human Resources,4,Single,6250,17896,1,Y,Yes,16,3,4,80,1,8,4,3,6,4,2,3
25,Yes,Travel_Frequently,1367,Research & Development,27,1,Life Sciences,1,33,1,Male,42,2,1,Research Scientist,1,Married,2850,14569,3,Y,Yes,22,4,1,80,0,2,5,2,1,0,0,1
47,No,Travel_Rarely,715,Sales,4,4,Marketing,1,34,2,Female,90,3,4,Sales Executive,2,Divorced,11450,22147,5,Y,No,14,3,2,80,3,20,3,3,16,12,7,10
33,No,Travel_Frequently,1089,Research & Development,20,3,Medical,1,35,3,Male,75,4,2,Laboratory Technician,3,Single,4150,18736,2,Y,Yes,17,3,3,80,1,9,3,3,7,5,2,4
28,Yes,Non-Travel,562,Sales,13,2,Marketing,1,36,4,Female,53,2,1,Sales Representative,4,Single,3450,15689,6,Y,No,18,3,4,80,0,5,2,2,3,2,1,1
54,No,Travel_Rarely,1275,Research & Development,8,5,Life Sciences,1,37,1,Male,92,3,5,Manager,1,Married,19750,24568,4,Y,Yes,11,4,1,80,2,31,4,4,27,18,13,15
36,No,Travel_Frequently,648,Human Resources,22,3,Human Resources,1,38,2,Female,71,3,3,Human Resources,2,Divorced,7850,19456,1,Y,No,15,3,2,80,1,12,3,3,9,7,4,6
24,Yes,Travel_Rarely,1383,Research & Development,16,2,Technical Degree,1,39,3,Male,46,2,1,Laboratory Technician,3,Married,2750,13687,2,Y,Yes,20,4,3,80,0,3,4,2,2,1,0,1
43,No,Non-Travel,591,Sales,6,4,Life Sciences,1,40,4,Female,87,4,3,Sales Executive,4,Single,10250,21478,3,Y,No,12,4,4,80,1,18,2,4,15,11,8,9
32,No,Travel_Rarely,1167,Research & Development,11,3,Medical,1,41,1,Male,69,3,2,Research Scientist,1,Married,5150,17896,4,Y,Yes,19,3,1,80,2,8,5,3,6,4,2,3
27,Yes,Travel_Frequently,789,Sales,24,1,Marketing,1,42,2,Female,55,2,2,Sales Representative,2,Divorced,3850,14789,7,Y,No,16,3,2,80,0,4,3,2,3,2,1,2
48,No,Travel_Rarely,426,Research & Development,7,4,Life Sciences,1,43,3,Male,91,4,4,Healthcare Representative,3,Single,13450,22568,5,Y,Yes,13,4,3,80,3,22,3,4,18,14,9,12
35,No,Travel_Frequently,1298,Human Resources,19,3,Human Resources,1,44,4,Female,67,3,2,Human Resources,4,Married,8250,19857,2,Y,No,17,3,4,80,1,11,4,3,8,6,3,5
26,Yes,Non-Travel,574,Research & Development,28,2,Technical Degree,1,45,1,Male,48,2,1,Laboratory Technician,1,Single,2650,15478,1,Y,Yes,21,4,1,80,0,3,2,2,2,1,0,1
51,No,Travel_Rarely,1185,Sales,5,5,Marketing,1,46,2,Female,94,3,5,Manager,2,Divorced,18450,23689,6,Y,No,14,4,2,80,2,26,3,4,22,16,11,14
39,No,Travel_Frequently,659,Research & Development,12,4,Medical,1,47,3,Male,78,2,3,Manufacturing Director,3,Married,9150,18746,3,Y,Yes,15,3,3,80,1,15,4,2,12,9,6,8
30,Yes,Travel_Rarely,1374,Sales,21,2,Life Sciences,1,48,4,Female,56,3,2,Sales Executive,4,Single,5250,16587,5,Y,No,18,3,4,80,0,7,3,3,5,4,2,3
45,No,Non-Travel,493,Research & Development,9,3,Medical,1,49,1,Male,85,4,4,Research Director,1,Married,17250,24578,1,Y,No,12,4,1,80,3,19,2,4,16,12,8,10
33,No,Travel_Rarely,1086,Human Resources,14,4,Human Resources,1,50,2,Female,63,3,3,Manager,2,Single,10850,18967,2,Y,Yes,16,3,2,80,1,9,5,3,7,5,3,4
28,Yes,Travel_Frequently,567,Research & Development,25,1,Life Sciences,1,51,3,Male,49,2,1,Research Scientist,3,Married,3150,14789,4,Y,Yes,19,3,3,80,0,5,4,2,3,2,1,2
52,No,Travel_Rarely,1273,Sales,6,5,Marketing,1,52,4,Female,88,3,4,Sales Executive,4,Divorced,12650,21478,7,Y,No,13,4,4,80,2,27,3,3,23,17,12,15
37,No,Travel_Frequently,641,Research & Development,17,3,Technical Degree,1,53,1,Male,72,4,2,Laboratory Technician,1,Single,4650,17896,3,Y,Yes,17,3,1,80,1,13,4,3,10,7,4,6
25,Yes,Non-Travel,1391,Sales,29,2,Marketing,1,54,2,Female,44,2,1,Sales Representative,2,Single,3250,13568,2,Y,No,20,4,2,80,0,2,3,2,1,0,0,0
46,No,Travel_Rarely,518,Research & Development,8,4,Medical,1,55,3,Male,90,3,3,Healthcare Representative,3,Married,11850,19657,6,Y,Yes,14,3,3,80,3,21,4,3,17,13,8,11
34,No,Travel_Frequently,1174,Human Resources,20,3,Human Resources,1,56,4,Female,66,4,3,Human Resources,4,Divorced,7450,18746,1,Y,No,15,4,4,80,1,10,3,4,8,6,3,5
29,Yes,Travel_Rarely,695,Research & Development,13,2,Life Sciences,1,57,1,Male,54,2,2,Research Scientist,1,Single,3850,16489,3,Y,Yes,18,3,1,80,0,6,5,2,4,3,1,2
53,No,Non-Travel,1287,Sales,7,5,Marketing,1,58,2,Female,92,4,5,Manager,2,Married,19650,24678,5,Y,No,11,4,2,80,3,30,2,4,26,19,14,17
38,No,Travel_Rarely,573,Research & Development,16,4,Medical,1,59,3,Male,77,3,3,Manufacturing Director,3,Single,8750,18957,4,Y,Yes,16,3,3,80,1,14,3,3,11,8,5,7
27,Yes,Travel_Frequently,1368,Sales,26,1,Life Sciences,1,60,4,Female,45,2,1,Sales Representative,4,Married,2950,14678,6,Y,No,21,4,4,80,0,4,4,2,3,2,1,1
49,No,Travel_Rarely,692,Research & Development,10,5,Technical Degree,1,61,1,Male,89,4,4,Research Director,1,Divorced,16450,23568,2,Y,Yes,13,4,1,80,2,24,3,4,20,15,10,13
35,No,Travel_Frequently,1056,Human Resources,23,3,Human Resources,1,62,2,Female,68,3,2,Human Resources,2,Single,6850,17896,3,Y,No,17,3,2,80,1,11,4,3,9,7,4,6
26,Yes,Non-Travel,584,Research & Development,18,2,Life Sciences,1,63,3,Male,52,2,1,Laboratory Technician,3,Single,2750,15687,1,Y,Yes,19,3,3,80,0,3,3,2,2,1,0,1
44,No,Travel_Rarely,1265,Sales,5,4,Marketing,1,64,4,Female,91,3,4,Sales Executive,4,Married,11250,20147,4,Y,No,14,3,4,80,3,19,2,3,16,12,7,10
32,No,Travel_Frequently,678,Research & Development,15,3,Medical,1,65,1,Male,74,4,2,Research Scientist,1,Divorced,4950,18746,2,Y,Yes,15,4,1,80,1,8,5,3,6,4,2,3
28,Yes,Travel_Rarely,1376,Sales,27,2,Life Sciences,1,66,2,Female,48,2,2,Sales Representative,2,Single,3450,14789,5,Y,No,18,3,2,80,0,5,3,2,3,2,1,2
47,No,Non-Travel,505,Research & Development,9,4,Technical Degree,1,67,3,Male,87,3,3,Healthcare Representative,3,Married,12650,21478,6,Y,Yes,12,4,3,80,2,22,3,3,18,14,9,12
36,No,Travel_Rarely,1183,Human Resources,22,3,Human Resources,1,68,4,Female,65,4,3,Manager,4,Single,9450,19867,1,Y,No,16,4,4,80,1,12,4,4,9,7,4,6
25,Yes,Travel_Frequently,597,Research & Development,14,1,Life Sciences,1,69,1,Male,51,2,1,Research Scientist,1,Married,2850,15689,3,Y,Yes,20,4,1,80,0,2,4,2,1,0,0,1
52,No,Travel_Rarely,1278,Sales,6,5,Marketing,1,70,2,Female,93,3,5,Manager,2,Divorced,18850,23789,7,Y,No,13,4,2,80,3,28,2,4,24,18,13,16
39,No,Travel_Frequently,651,Research & Development,19,4,Medical,1,71,3,Male,76,2,2,Manufacturing Director,3,Single,8150,17956,3,Y,Yes,17,3,3,80,1,15,3,2,12,9,6,8
31,Yes,Non-Travel,1387,Sales,25,2,Marketing,1,72,4,Female,47,3,1,Sales Representative,4,Single,3650,14578,4,Y,No,19,3,4,80,0,7,5,3,5,4,2,3
46,No,Travel_Rarely,474,Research & Development,8,4,Life Sciences,1,73,1,Male,88,4,4,Research Director,1,Married,16250,22468,5,Y,Yes,14,4,1,80,2,20,3,4,17,13,8,11
33,No,Travel_Frequently,1095,Human Resources,21,3,Human Resources,1,74,2,Female,67,3,2,Human Resources,2,Divorced,7650,18756,2,Y,No,15,3,2,80,1,9,4,3,7,5,3,4
29,Yes,Travel_Rarely,586,Research & Development,16,2,Technical Degree,1,75,3,Male,53,2,1,Laboratory Technician,3,Single,3250,15789,1,Y,Yes,21,4,3,80,0,6,3,2,4,3,1,2
55,No,Non-Travel,1286,Sales,7,5,Marketing,1,76,4,Female,92,4,5,Manager,4,Married,19450,24678,6,Y,No,11,4,4,80,3,32,2,4,28,20,15,18
37,No,Travel_Rarely,663,Research & Development,12,3,Medical,1,77,1,Male,79,3,3,Healthcare Representative,1,Single,9250,19567,4,Y,Yes,16,3,1,80,1,13,4,3,10,7,4,6
26,Yes,Travel_Frequently,1379,Sales,28,1,Life Sciences,1,78,2,Female,45,2,2,Sales Executive,2,Married,3850,14689,7,Y,No,18,3,2,80,0,3,5,2,2,1,0,1
48,No,Travel_Rarely,598,Research & Development,9,4,Medical,1,79,3,Male,86,3,3,Manufacturing Director,3,Divorced,11450,20478,3,Y,Yes,13,4,3,80,2,23,3,3,19,15,10,13
34,No,Travel_Frequently,1176,Human Resources,24,3,Human Resources,1,80,4,Female,68,4,2,Human Resources,4,Single,8250,18967,1,Y,No,17,4,4,80,1,10,3,4,8,6,3,5
30,Yes,Non-Travel,687,Research & Development,17,2,Life Sciences,1,81,1,Male,56,2,1,Research Scientist,1,Single,3450,16578,2,Y,Yes,19,3,1,80,0,7,4,2,5,4,2,3
51,No,Travel_Rarely,1289,Sales,5,5,Marketing,1,82,2,Female,91,3,5,Sales Executive,2,Married,17650,23789,5,Y,No,12,4,2,80,3,26,3,4,22,16,11,14
38,No,Travel_Frequently,575,Research & Development,20,4,Technical Degree,1,83,3,Male,73,4,2,Laboratory Technician,3,Divorced,5250,17856,4,Y,Yes,15,4,3,80,1,14,5,3,11,8,5,7
27,Yes,Travel_Rarely,1382,Sales,29,1,Marketing,1,84,4,Female,49,2,1,Sales Representative,4,Single,2950,14789,6,Y,No,20,4,4,80,0,4,3,2,3,2,1,1
45,No,Non-Travel,512,Research & Development,11,4,Medical,1,85,1,Male,89,3,4,Healthcare Representative,1,Married,13850,21567,2,Y,Yes,14,3,1,80,3,20,2,3,17,13,8,11
35,No,Travel_Rarely,1167,Human Resources,18,3,Human Resources,1,86,2,Female,65,3,3,Manager,2,Single,10450,19678,1,Y,No,16,3,2,80,1,11,4,3,9,7,4,6
26,Yes,Travel_Frequently,692,Research & Development,15,2,Life Sciences,1,87,3,Male,54,2,2,Research Scientist,3,Married,3150,15789,3,Y,Yes,18,3,3,80,0,3,5,2,2,1,0,1
53,No,Travel_Rarely,1278,Sales,6,5,Marketing,1,88,4,Female,94,4,4,Sales Executive,4,Divorced,12850,22478,7,Y,No,13,4,4,80,2,29,3,4,25,19,14,17
40,No,Travel_Frequently,658,Research & Development,23,4,Medical,1,89,1,Male,77,3,3,Manufacturing Director,1,Single,8450,18956,3,Y,Yes,17,3,1,80,1,16,3,3,13,10,6,9
32,Yes,Non-Travel,1394,Sales,26,2,Life Sciences,1,90,2,Female,46,2,1,Sales Representative,2,Single,3750,14689,4,Y,No,19,3,2,80,0,8,4,2,6,4,2,3
49,No,Travel_Rarely,486,Research & Development,8,4,Technical Degree,1,91,3,Male,88,4,4,Research Director,3,Married,15650,23568,5,Y,Yes,12,4,3,80,3,24,2,4,20,15,10,13
36,No,Travel_Frequently,1179,Human Resources,21,3,Human Resources,1,92,4,Female,66,3,2,Human Resources,4,Divorced,7850,18756,2,Y,No,15,3,4,80,1,12,5,3,9,7,4,6
28,Yes,Travel_Rarely,593,Research & Development,14,1,Life Sciences,1,93,1,Male,52,2,1,Laboratory Technician,1,Single,2850,15689,1,Y,Yes,21,4,1,80,0,5,3,2,3,2,1,1
44,No,Non-Travel,1267,Sales,7,4,Marketing,1,94,2,Female,90,3,4,Manager,2,Married,16450,22678,6,Y,No,14,4,2,80,2,19,3,4,16,12,8,11
33,No,Travel_Rarely,679,Research & Development,19,3,Medical,1,95,3,Male,74,4,2,Research Scientist,3,Single,5450,17896,3,Y,Yes,16,4,3,80,1,9,4,3,7,5,3,4
29,Yes,Travel_Frequently,1386,Sales,27,2,Life Sciences,1,96,4,Female,48,2,2,Sales Executive,4,Married,4250,14789,5,Y,No,18,3,4,80,0,6,5,2,4,3,1,2
56,No,Travel_Rarely,504,Research & Development,10,5,Technical Degree,1,97,1,Male,92,3,5,Healthcare Representative,1,Divorced,18250,24678,4,Y,Yes,11,4,1,80,3,33,2,4,29,21,16,19
38,No,Travel_Frequently,1168,Human Resources,22,4,Human Resources,1,98,2,Female,69,4,3,Manager,2,Single,11650,19867,1,Y,No,17,4,2,80,1,14,3,4,11,8,5,7
25,Yes,Non-Travel,685,Research & Development,16,1,Life Sciences,1,99,3,Male,51,2,1,Research Scientist,3,Single,2950,15789,2,Y,Yes,20,4,3,80,0,2,4,2,1,0,0,0
47,No,Travel_Rarely,1279,Sales,5,4,Marketing,1,100,4,Female,91,3,4,Sales Executive,4,Married,13250,21478,6,Y,No,12,4,4,80,2,22,3,4,18,14,9,12
41,No,Travel_Frequently,567,Research & Development,18,3,Medical,1,101,1,Male,75,4,3,Healthcare Representative,1,Divorced,9650,18956,3,Y,Yes,15,3,1,80,1,17,4,3,14,11,7,9
30,Yes,Non-Travel,1395,Sales,25,2,Life Sciences,1,102,2,Female,47,2,2,Sales Representative,2,Single,3850,14789,4,Y,No,19,3,2,80,0,7,5,2,5,4,2,3
54,No,Travel_Rarely,493,Research & Development,9,5,Technical Degree,1,103,3,Male,89,3,5,Research Director,3,Married,17850,24678,5,Y,Yes,13,4,3,80,3,31,2,4,27,19,14,17
37,No,Travel_Frequently,1186,Human Resources,22,4,Human Resources,1,104,4,Female,68,3,2,Human Resources,4,Single,8450,19867,1,Y,No,16,3,4,80,1,13,3,3,10,8,5,7
26,Yes,Travel_Rarely,594,Research & Development,15,1,Life Sciences,1,105,1,Male,53,2,1,Research Scientist,1,Married,2950,15789,2,Y,Yes,20,4,1,80,0,3,4,2,2,1,0,1
45,No,Non-Travel,1278,Sales,6,4,Marketing,1,106,2,Female,92,4,4,Manager,2,Divorced,15250,22678,7,Y,No,14,4,2,80,2,20,3,4,17,13,8,11
34,No,Travel_Rarely,681,Research & Development,20,3,Medical,1,107,3,Male,76,3,2,Manufacturing Director,3,Single,6850,17896,3,Y,Yes,17,3,3,80,1,10,4,3,8,6,4,5
31,Yes,Travel_Frequently,1397,Sales,28,2,Marketing,1,108,4,Female,49,2,1,Sales Executive,4,Single,4150,14789,5,Y,No,18,3,4,80,0,8,5,2,6,4,2,3
48,No,Travel_Rarely,506,Research & Development,11,4,Life Sciences,1,109,1,Male,87,4,4,Healthcare Representative,1,Married,12850,21567,4,Y,Yes,12,4,1,80,3,23,2,4,19,15,10,13
35,No,Travel_Frequently,1175,Human Resources,24,3,Human Resources,1,110,2,Female,67,3,3,Manager,2,Divorced,9850,19678,2,Y,No,15,3,2,80,1,11,4,3,9,7,4,6
27,Yes,Non-Travel,696,Research & Development,17,2,Technical Degree,1,111,3,Male,55,2,1,Laboratory Technician,3,Single,3150,15689,1,Y,Yes,21,4,3,80,0,4,3,2,3,2,1,1
52,No,Travel_Rarely,1287,Sales,7,5,Marketing,1,112,4,Female,93,3,5,Sales Executive,4,Married,16450,23789,6,Y,No,11,4,4,80,3,27,3,4,23,17,12,15
39,No,Travel_Frequently,673,Research & Development,21,4,Medical,1,113,1,Male,78,4,2,Research Scientist,1,Single,7250,18956,3,Y,Yes,16,4,1,80,1,15,5,3,12,9,6,8
28,Yes,Travel_Rarely,1389,Sales,29,1,Life Sciences,1,114,2,Female,46,2,2,Sales Representative,2,Married,3650,14689,7,Y,No,19,3,2,80,0,5,4,2,4,3,1,2
46,No,Non-Travel,518,Research & Development,8,4,Technical Degree,1,115,3,Male,88,3,3,Healthcare Representative,3,Divorced,11450,20478,2,Y,Yes,13,3,3,80,2,21,3,3,17,13,8,11
33,No,Travel_Rarely,1168,Human Resources,16,3,Human Resources,1,116,4,Female,66,4,2,Human Resources,4,Single,7650,18756,1,Y,No,17,4,4,80,1,9,3,4,7,5,3,4
29,Yes,Travel_Frequently,685,Research & Development,12,2,Life Sciences,1,117,1,Male,54,2,1,Research Scientist,1,Single,3250,15789,3,Y,Yes,18,3,1,80,0,6,5,2,4,3,1,2
55,No,Travel_Rarely,1276,Sales,5,5,Marketing,1,118,2,Female,91,4,5,Manager,2,Married,18650,24678,5,Y,No,12,4,2,80,3,32,2,4,28,20,15,18
38,No,Travel_Frequently,597,Research & Development,19,4,Medical,1,119,3,Male,77,3,3,Manufacturing Director,3,Divorced,8650,18967,4,Y,Yes,15,3,3,80,1,14,4,3,11,8,5,7
25,Yes,Non-Travel,1384,Sales,27,1,Marketing,1,120,4,Female,48,2,1,Sales Executive,4,Single,3450,14789,6,Y,No,20,4,4,80,0,2,3,2,1,0,0,0
49,No,Travel_Rarely,512,Research & Development,9,4,Life Sciences,1,121,1,Male,89,4,4,Research Director,1,Married,15850,22568,3,Y,Yes,14,4,1,80,2,24,3,4,20,15,10,13
36,No,Travel_Frequently,1179,Human Resources,23,3,Human Resources,1,122,2,Female,68,3,2,Human Resources,2,Single,8250,19867,1,Y,No,16,3,2,80,1,12,4,3,9,7,4,6
32,Yes,Travel_Rarely,693,Research & Development,15,2,Technical Degree,1,123,3,Male,56,2,2,Laboratory Technician,3,Married,3850,15789,2,Y,Yes,17,3,3,80,0,8,5,2,6,4,2,3
44,No,Non-Travel,1278,Sales,6,4,Marketing,1,124,4,Female,92,3,4,Sales Executive,4,Divorced,12250,21478,7,Y,No,13,4,4,80,3,19,3,4,16,12,7,10
31,No,Travel_Rarely,578,Research & Development,18,3,Medical,1,125,1,Male,74,4,2,Healthcare Representative,1,Single,6450,17896,4,Y,Yes,18,4,1,80,1,7,4,3,5,4,2,3
27,Yes,Travel_Frequently,1392,Sales,26,2,Life Sciences,1,126,2,Female,47,2,1,Sales Representative,2,Single,3250,14689,5,Y,No,19,3,2,80,0,4,3,2,3,2,1,1
53,No,Travel_Rarely,498,Research & Development,10,5,Technical Degree,1,127,3,Male,90,3,5,Research Director,3,Married,17450,23678,4,Y,Yes,11,4,3,80,2,30,2,4,26,18,13,16
40,No,Travel_Frequently,1187,Human Resources,22,4,Human Resources,1,128,4,Female,69,4,3,Manager,4,Divorced,10850,19678,2,Y,No,15,4,4,80,1,16,3,4,13,10,6,9
26,Yes,Non-Travel,674,Research & Development,14,1,Life Sciences,1,129,1,Male,52,2,1,Research Scientist,1,Single,2850,15689,1,Y,Yes,21,4,1,80,0,3,4,2,2,1,0,1
47,No,Travel_Rarely,1285,Sales,7,4,Marketing,1,130,2,Female,93,3,4,Sales Executive,2,Married,14650,22789,6,Y,No,12,4,2,80,3,22,3,4,18,14,9,12
34,No,Travel_Frequently,591,Research & Development,20,3,Medical,1,131,3,Male,75,3,2,Manufacturing Director,3,Single,7250,18756,3,Y,Yes,16,3,3,80,1,10,5,3,8,6,4,5
30,Yes,Travel_Rarely,1398,Sales,28,2,Marketing,1,132,4,Female,49,2,2,Sales Representative,4,Married,4350,14789,5,Y,No,18,3,4,80,0,7,4,2,5,4,2,3
51,No,Non-Travel,516,Research & Development,11,5,Life Sciences,1,133,1,Male,88,4,5,Healthcare Representative,1,Divorced,16250,24567,3,Y,Yes,13,4,1,80,2,26,2,4,22,16,11,14
37,No,Travel_Rarely,1176,Human Resources,24,4,Human Resources,1,134,2,Female,67,3,3,Human Resources,2,Single,9450,19867,1,Y,No,17,3,2,80,1,13,4,3,10,8,5,7
28,Yes,Travel_Frequently,695,Research & Development,17,2,Technical Degree,1,135,3,Male,54,2,1,Laboratory Technician,3,Single,3150,15789,2,Y,Yes,20,4,3,80,0,5,3,2,3,2,1,1
45,No,Travel_Rarely,1289,Sales,5,4,Marketing,1,136,4,Female,91,4,4,Manager,4,Married,15850,23678,7,Y,No,14,4,4,80,2,20,3,4,17,13,8,11
32,No,Travel_Frequently,573,Research & Development,19,3,Medical,1,137,1,Male,76,3,2,Research Scientist,1,Divorced,5650,17896,4,Y,Yes,15,3,1,80,1,8,5,3,6,4,2,3
29,Yes,Non-Travel,1387,Sales,27,1,Life Sciences,1,138,2,Female,48,2,2,Sales Executive,2,Single,3750,14689,6,Y,No,19,3,2,80,0,6,4,2,4,3,1,2
56,No,Travel_Rarely,525,Research & Development,8,5,Technical Degree,1,139,3,Male,92,3,5,Research Director,3,Married,18450,24678,5,Y,Yes,11,4,3,80,3,33,2,4,29,21,16,19
